length_in,head_style,material,tensile_strength_psi,thread_diameter_in,finish,thread_class,threads_per_inch,thread_series,width_across_flats_in,unit_price_each_usd
3.401,SPLINE EXTENDED WASHER,Alloy Steel,220000.0,0.5,Cadmium,3A,20.0,UNIFIED NATIONAL JOINT FINE (UNJF),,128.51
4.031,HEXAGON,Alloy Steel,125000.0,0.375,Cadmium,3A,16.0,UNIFIED NATIONAL COARSE (UNC),0.554,1.03
1.25,HEXAGON,Alloy Steel,75000.0,0.375,Passivated,2A,16.0,UNIFIED NATIONAL COARSE (UNC),0.544,0.77
2.861,DISHED HEXAGON,Titanium,160000.0,0.625,unknown,3A,18.0,UNIFIED NATIONAL JOINT FINE (UNJF),0.928,59.7
4.356,DOUBLE HEXAGON,Nickel Alloy,132000.0,0.375,Passivated,3A,24.0,UNIFIED NATIONAL JOINT FINE (UNJF),0.553,33.55
1.188,DISHED HEXAGON,A286 Superalloy,160000.0,0.375,Cadmium,3A,24.0,UNIFIED NATIONAL JOINT FINE (UNJF),0.554,5.02
0.562,DOUBLE HEXAGON W/HOLE,Alloy Steel,,0.19,Cadmium,3A,32.0,UNF,0.243,1.6
6.046,BEVEL-CONICAL,Corrosion Resisting Steel,160000.0,0.875,Cadmium,3A,14.0,UNF,,19.65
1.438,DOUBLE HEXAGON W/HOLE,Alloy Steel,,0.19,Cadmium,3A,32.0,UNF,0.243,4.45
1.247,DISHED HEXAGON,Alloy Steel,95000.0,0.19,Passivated,3A,32.0,UNIFIED NATIONAL JOINT FINE (UNJF),0.367,69.75
1.922,HEXAGON,Alloy Steel,125000.0,0.75,Cadmium,3A,10.0,UNIFIED NATIONAL COARSE (UNC),1.053,11.34
0.605,DISHED HEXAGON,A286 Superalloy,160000.0,0.25,unknown,3A,28.0,UNIFIED NATIONAL JOINT FINE (UNJF),0.43,0.84
1.188,DOUBLE HEXAGON EXTENDED WASHER,Nickel Alloy,,0.19,unknown,3A,32.0,UNIFIED NATIONAL JOINT FINE (UNJF),0.25,9.64
3.45,DISHED HEXAGON,A286 Superalloy,160000.0,0.375,Passivated,3A,24.0,UNIFIED NATIONAL JOINT FINE (UNJF),0.554,146.0
2.673,DISHED HEXAGON,A286 Superalloy,160000.0,0.312,Cadmium,3A,23.0,UNIFIED NATIONAL JOINT FINE (UNJF),0.492,11.68
1.973,DOUBLE HEXAGON W/HOLE,Alloy Steel,220000.0,0.312,Passivated,3A,24.0,UNIFIED NATIONAL JOINT FINE (UNJF),0.376,13.16
0.562,HEXAGON,Other,,0.375,unknown,2A,16.0,UNIFIED NATIONAL COARSE (UNC),0.625,30.65
3.5,HEXAGON,Alloy Steel,120000.0,0.75,unknown,3A,10.0,UNIFIED NATIONAL COARSE (UNC),1.088,154.51
5.687,HEXAGON,Alloy Steel,125000.0,0.375,Passivated,3A,24.0,UNF,0.553,41.82
3.0,HEXAGON,Alloy Steel,75000.0,0.5,Zinc,2A,13.0,UNIFIED NATIONAL COARSE (UNC),,5.82
0.819,DOUBLE HEXAGON,Alloy Steel,,0.25,unknown,3A,28.0,UNIFIED NATIONAL JOINT FINE (UNJF),0.439,6.39
9.916,DISHED HEXAGON,Titanium,160000.0,0.5,unknown,3A,20.0,UNIFIED NATIONAL JOINT FINE (UNJF),0.741,274.03
1.766,DISHED HEXAGON,Titanium,160000.0,0.312,unknown,3A,24.0,UNIFIED NATIONAL JOINT FINE (UNJF),0.492,26.21
0.875,DOUBLE HEXAGON W/HOLE,A286 Superalloy,130000.0,0.312,unknown,3A,24.0,UNF,0.367,4.99
2.79,HEXAGON,Corrosion Resisting Steel,,0.25,unknown,3A,28.0,UNIFIED NATIONAL JOINT FINE (UNJF),0.741,14.08
3.563,DISHED HEXAGON,Alloy Steel,160000.0,0.375,Cadmium,3A,24.0,UNIFIED NATIONAL JOINT FINE (UNJF),0.553,7.42
1.625,DISHED HEXAGON,Alloy Steel,160000.0,0.375,Cadmium,3A,24.0,UNIFIED NATIONAL JOINT FINE (UNJF),0.554,1.44
5.797,HEXAGON,Alloy Steel,160000.0,0.312,Cadmium,3A,24.0,UNF,0.5,1598.4
1.222,HEXAGON,Titanium,160000.0,0.25,unknown,3A,28.0,UNF,0.429,6.1
2.203,HEXAGON,Alloy Steel,125000.0,0.312,Passivated,3A,24.0,UNF,0.49,3.28
0.423,HEXAGON,Alloy Steel,,0.25,Passivated,3A,28.0,UNF,0.5,0.92
1.453,DOUBLE HEXAGON W/HOLE,Nickel Alloy,220000.0,0.312,Passivated,3A,24.0,UNIFIED NATIONAL JOINT FINE (UNJF),0.367,221.91
2.208,DOUBLE HEXAGON,Alloy Steel,125000.0,0.4375,Passivated,3A,20.0,UNIFIED NATIONAL JOINT FINE (UNJF),0.69,65.89
2.0,HEXAGON,Alloy Steel,,0.312,Cadmium,2A,18.0,UNIFIED NATIONAL COARSE (UNC),0.489,2.96
1.165,FLAT COUNTERSUNK,Alloy Steel,,0.125,unknown,3A,4040.0,UNJC,,720.52
1.767,SPLINE EXTENDED WASHER,Nickel Alloy,220000.0,0.313,Passivated,3A,24.0,UNIFIED NATIONAL JOINT FINE (UNJF),,37.9
3.083,DOUBLE HEXAGON,Alloy Steel,,0.438,unknown,3A,20.0,UNIFIED NATIONAL JOINT FINE (UNJF),0.69,13.13
1.361,DISHED HEXAGON,Alloy Steel,160000.0,0.312,Cadmium,3A,24.0,UNIFIED NATIONAL JOINT FINE (UNJF),0.492,0.67
2.93,DISHED HEXAGON,Alloy Steel,,0.375,Cadmium,3A,24.0,UNIFIED NATIONAL JOINT FINE (UNJF),0.741,42.06
1.438,DOUBLE HEXAGON W/HOLE,Corrosion Resisting Steel,,0.312,Passivated,2A,24.0,UNF,0.367,1.56
4.625,HEXAGON,Alloy Steel,160000.0,0.875,Cadmium,3A,14.0,UNIFIED NATIONAL JOINT FINE (UNJF),1.24,47.55
3.47,HEXAGON,Titanium,,0.19,unknown,unknown,32.0,UNIFIED NATIONAL JOINT FINE (UNJF),0.367,2.14
1.052,HEXAGON,Alloy Steel,,0.312,Cadmium,unknown,24.0,UNF,0.492,56.61
2.594,DISHED HEXAGON,Alloy Steel,160000.0,0.312,Cadmium,3A,24.0,UNF,0.492,1.37
1.188,HEXAGON,Alloy Steel,120000.0,0.75,Cadmium,2A,10.0,UNIFIED NATIONAL COARSE (UNC),0.938,1.89
0.766,HEXAGON,Titanium,,0.25,Anodised,2A,20.0,UNIFIED NATIONAL COARSE (UNC),0.437,143.54
1.773,HEXAGON,A286 Superalloy,,0.375,Passivated,3A,24.0,UNIFIED NATIONAL JOINT FINE (UNJF),0.554,110.07
1.636,DISHED HEXAGON,Alloy Steel,160000.0,0.562,Cadmium,3A,18.0,UNIFIED NATIONAL JOINT FINE (UNJF),0.865,10.66
2.5,DOUBLE HEXAGON EXTENDED WASHER,Alloy Steel,,0.25,Nickel,1A,28.0,UNF,0.309,13.8
2.167,DISHED HEXAGON,A286 Superalloy,160000.0,0.25,Cadmium,3A,28.0,UNIFIED NATIONAL JOINT FINE (UNJF),0.429,3.72
0.675,BEVEL-CONICAL,Alloy Steel,,0.25,Passivated,AAL,28.0,UNIFIED NATIONAL JOINT FINE (UNJF),,1.67
1.557,HEXAGON,Alloy Steel,180000.0,0.312,Cadmium,3A,24.0,UNF,0.5,0.93
2.423,DISHED HEXAGON,Alloy Steel,160000.0,0.312,unknown,3A,24.0,UNIFIED NATIONAL JOINT FINE (UNJF),0.492,5.0
0.66,DISHED HEXAGON,A286 Superalloy,160000.0,0.25,Cadmium,3A,28.0,UNIFIED NATIONAL JOINT FINE (UNJF),0.429,12.08
4.724,DOUBLE HEXAGON W/HOLE,Alloy Steel,180000.0,0.312,Cadmium,3A,24.0,UNIFIED NATIONAL JOINT FINE (UNJF),0.367,5.36
1.578,HEXAGON,A286 Superalloy,95000.0,0.25,Cadmium,3A,28.0,UNIFIED NATIONAL JOINT FINE (UNJF),0.49,240.41
2.75,HEXAGON,Alloy Steel,,0.438,unknown,3A,20.0,UNF,1.062,69.99
1.615,DOUBLE HEXAGON EXTENDED WASHER,Nickel Alloy,,0.25,unknown,3A,28.0,UNIFIED NATIONAL JOINT FINE (UNJF),0.312,3.19
1.176,HEXAGON,Titanium,160000.0,0.25,unknown,3A,28.0,UNIFIED NATIONAL JOINT FINE (UNJF),0.43,12.88
3.5,HEXAGON,Alloy Steel,,0.75,unknown,2A,16.0,UNF,1.125,2.85
