sale_price_usd,age_at_sale,sale_year,product_group,product_size,enclosure,state
122000.0,17,2005,Track Type Tractors,Large,EROPS w AC,Florida
67500.0,12,2008,Track Type Tractors,Medium,EROPS w AC,New Mexico
23000.0,6,2011,Track Excavators,Mini,EROPS w AC,Ohio
19500.0,19,2008,Wheel Loader,Large,EROPS w AC,Ohio
20000.0,27,1991,Track Type Tractors,Large,OROPS,Arizona
8500.0,16,1990,Backhoe Loaders,unknown,OROPS,Texas
55000.0,8,1998,Track Excavators,Large / Medium,EROPS,Texas
39000.0,14,2007,Track Excavators,Large / Medium,EROPS w AC,Pennsylvania
17000.0,13,2001,Track Type Tractors,unknown,OROPS,Connecticut
26000.0,4,2006,Track Excavators,Mini,EROPS,Florida
29000.0,6,2010,Track Excavators,Small,EROPS w AC,Texas
15000.0,13,2001,Wheel Loader,Medium,EROPS,Florida
7000.0,7,2004,Skid Steer Loaders,unknown,OROPS,Florida
9500.0,5,1997,Skid Steer Loaders,unknown,OROPS,Georgia
22000.0,7,2007,Backhoe Loaders,unknown,OROPS,Texas
11500.0,13,2007,Track Excavators,Small,EROPS,Texas
31000.0,7,2010,Backhoe Loaders,unknown,EROPS w AC,California
17000.0,38,2011,Wheel Loader,Medium,EROPS,Texas
11500.0,10,2001,Track Excavators,Mini,EROPS,New Jersey
18000.0,22,1995,Motor Graders,unknown,OROPS,Missouri
13000.0,30,2006,Track Type Tractors,Large,OROPS,Georgia
18000.0,10,1994,Track Type Tractors,unknown,EROPS w AC,Louisiana
18500.0,4,2009,Backhoe Loaders,unknown,OROPS,Georgia
45000.0,5,2010,Wheel Loader,unknown,EROPS w AC,Florida
33000.0,7,1999,Wheel Loader,Medium,OROPS,Washington
30000.0,7,2007,Track Type Tractors,Medium,OROPS,Arkansas
24000.0,7,1994,Backhoe Loaders,unknown,EROPS,New Jersey
46000.0,24,2005,Track Type Tractors,Large,EROPS,Texas
11500.0,25,2001,Wheel Loader,Medium,OROPS,South Carolina
26000.0,9,2008,Backhoe Loaders,unknown,EROPS,Colorado
26500.0,12,2008,Track Excavators,Small,EROPS w AC,Pennsylvania
28500.0,6,2002,Track Excavators,Small,EROPS w AC,Mississippi
17000.0,2,2007,Skid Steer Loaders,unknown,OROPS,Florida
31500.0,15,1995,Track Excavators,Large / Medium,EROPS,Maine
87500.0,10,2005,Motor Graders,unknown,EROPS w AC,Colorado
29000.0,5,2009,Backhoe Loaders,unknown,EROPS w AC,Maryland
17500.0,13,2008,Motor Graders,unknown,EROPS w AC,Minnesota
27000.0,5,1995,Track Type Tractors,unknown,OROPS,Florida
44000.0,6,1991,Wheel Loader,Medium,OROPS,Arizona
40000.0,4,2009,Track Excavators,Small,EROPS,Alabama
12000.0,17,2010,Backhoe Loaders,unknown,EROPS,Colorado
12500.0,18,1998,Track Excavators,Large / Medium,EROPS,Texas
21000.0,6,2011,Backhoe Loaders,unknown,OROPS,Georgia
28000.0,4,1998,Backhoe Loaders,unknown,EROPS w AC,Texas
20000.0,4,1990,Backhoe Loaders,unknown,EROPS,Pennsylvania
10500.0,35,2006,Track Type Tractors,Large,OROPS,Illinois
31000.0,7,2003,Track Type Tractors,Large,EROPS w AC,Mississippi
70000.0,1,1991,Track Excavators,Large / Medium,EROPS,Kentucky
56000.0,5,2000,Track Excavators,Large / Medium,EROPS,Washington
23000.0,10,1998,Track Type Tractors,unknown,OROPS,Indiana
15500.0,22,1998,Track Type Tractors,Medium,OROPS,Texas
22000.0,8,2006,Backhoe Loaders,unknown,OROPS,Texas
70000.0,8,2008,Track Excavators,Large / Medium,EROPS w AC,Colorado
31000.0,12,2000,Wheel Loader,Medium,EROPS,Maryland
7500.0,16,2011,Track Excavators,Mini,EROPS,North Carolina
22000.0,10,1994,Backhoe Loaders,unknown,OROPS,Florida
80000.0,6,2011,Wheel Loader,Medium,OROPS,California
31000.0,3,2007,Backhoe Loaders,unknown,OROPS,Mississippi
42500.0,7,2008,Track Excavators,Large / Medium,EROPS w AC,California
16000.0,6,1991,Wheel Loader,unknown,EROPS,Illinois
12000.0,24,2008,Track Excavators,Large / Medium,EROPS,New Jersey
52500.0,24,2010,Motor Graders,unknown,EROPS w AC,Texas
18000.0,13,1990,Motor Graders,unknown,EROPS,Texas
9750.0,40,2009,Track Type Tractors,Medium,OROPS,Arkansas
17500.0,14,2011,Backhoe Loaders,unknown,EROPS,Colorado
38000.0,6,2004,Track Type Tractors,unknown,OROPS,Texas
45000.0,4,2007,Wheel Loader,unknown,OROPS,Florida
18000.0,2,2009,Track Excavators,Mini,EROPS,Georgia
24000.0,12,2009,Track Type Tractors,Large,OROPS,North Carolina
7500.0,8,2007,Track Excavators,Mini,EROPS,California
44000.0,6,2009,Wheel Loader,Medium,EROPS w AC,Florida
72500.0,5,2005,Track Excavators,Large / Medium,EROPS w AC,Florida
45000.0,21,2006,Wheel Loader,Medium,EROPS,Colorado
62500.0,12,2006,Track Excavators,Large / Medium,EROPS,California
16000.0,12,2011,Track Excavators,Small,EROPS,Tennessee
57500.0,7,2008,Wheel Loader,Medium,EROPS w AC,Texas
42500.0,5,2010,Track Type Tractors,unknown,EROPS w AC,North Carolina
21000.0,7,2004,Track Excavators,Mini,EROPS,Washington
8500.0,5,2000,Skid Steer Loaders,unknown,OROPS,North Carolina
25500.0,5,2005,Backhoe Loaders,unknown,OROPS,Florida
9750.0,37,2001,Wheel Loader,Large,unknown,Colorado
75000.0,6,2011,Track Excavators,Large / Medium,EROPS w AC,Missouri
42500.0,6,2002,Wheel Loader,Medium,EROPS w AC,Florida
28000.0,17,2011,Track Excavators,Large / Medium,EROPS w AC,Florida
28000.0,14,2009,Wheel Loader,unknown,EROPS,North Carolina
65000.0,7,2005,Track Excavators,Large / Medium,EROPS,Florida
20500.0,11,1998,Backhoe Loaders,unknown,EROPS,Pennsylvania
15000.0,3,2009,Wheel Loader,Compact,OROPS,Washington
5000.0,3,2011,Skid Steer Loaders,unknown,OROPS,Texas
25000.0,6,2002,Wheel Loader,Medium,EROPS w AC,Indiana
9500.0,25,2008,Backhoe Loaders,unknown,EROPS,Minnesota
7500.0,6,2001,Skid Steer Loaders,unknown,OROPS,Nevada
7000.0,7,2006,Skid Steer Loaders,unknown,OROPS,Alabama
14500.0,8,2002,Track Type Tractors,unknown,OROPS,Mississippi
35000.0,7,2001,Track Type Tractors,unknown,OROPS,Alabama
12000.0,3,2009,Skid Steer Loaders,unknown,OROPS,North Carolina
17000.0,12,2007,Backhoe Loaders,unknown,OROPS,Georgia
11000.0,6,2010,Skid Steer Loaders,unknown,OROPS,Georgia
8500.0,12,1992,Backhoe Loaders,unknown,OROPS,Texas
25000.0,9,1999,Track Type Tractors,Large,EROPS w AC,Ohio
17500.0,10,2003,Track Excavators,Mini,EROPS,New Jersey
31000.0,18,2005,Wheel Loader,Medium,OROPS,Texas
19000.0,8,2007,Backhoe Loaders,unknown,OROPS,Texas
9750.0,4,1999,Skid Steer Loaders,unknown,OROPS,Florida
37500.0,4,2008,Wheel Loader,unknown,OROPS,Florida
39500.0,6,1998,Track Excavators,Small,EROPS w AC,Florida
72500.0,5,2005,Track Excavators,Large / Medium,EROPS w AC,Texas
30000.0,23,1993,Track Type Tractors,Large,OROPS,Illinois
9500.0,7,1998,Skid Steer Loaders,unknown,OROPS,Washington
9000.0,22,1995,Wheel Loader,Medium,EROPS,California
13000.0,10,2009,Track Type Tractors,unknown,OROPS,Georgia
52500.0,4,2008,Track Excavators,Small,EROPS w AC,Georgia
9750.0,3,1999,Skid Steer Loaders,unknown,OROPS,Wisconsin
24000.0,20,2009,Backhoe Loaders,unknown,OROPS,Arizona
35000.0,7,1996,Wheel Loader,unknown,OROPS,Florida
72500.0,14,2007,Wheel Loader,Medium,EROPS w AC,Texas
82500.0,13,2011,Motor Graders,unknown,EROPS w AC,Texas
60000.0,7,2010,Track Excavators,Large / Medium,EROPS w AC,Texas
56000.0,7,2010,Track Excavators,Large / Medium,EROPS w AC,Texas
17000.0,18,1996,Track Type Tractors,Large,OROPS,Alabama
17000.0,15,2011,Backhoe Loaders,unknown,OROPS,Florida
51000.0,7,1989,Wheel Loader,Medium,EROPS,California
110000.0,4,1996,Track Excavators,Large / Medium,EROPS w AC,Florida
22500.0,14,2008,Wheel Loader,unknown,OROPS,Mississippi
15000.0,3,2002,Skid Steer Loaders,unknown,OROPS,Unspecified
14000.0,13,2003,Backhoe Loaders,unknown,EROPS w AC,Missouri
12000.0,4,2007,Skid Steer Loaders,unknown,OROPS,California
8750.0,14,2009,Track Excavators,Mini,EROPS,Connecticut
23000.0,5,2009,Backhoe Loaders,unknown,OROPS,Arizona
24500.0,7,2008,Backhoe Loaders,unknown,OROPS,Texas
11500.0,6,2009,Skid Steer Loaders,unknown,EROPS,Maryland
20500.0,3,2009,Backhoe Loaders,unknown,OROPS,California
13000.0,5,2010,Track Excavators,Mini,EROPS,Louisiana
51000.0,7,2002,Track Type Tractors,Large,EROPS w AC,Texas
40000.0,13,2011,Wheel Loader,Medium,EROPS,Connecticut
7000.0,8,2007,Skid Steer Loaders,unknown,OROPS,New York
10000.0,23,2011,Backhoe Loaders,unknown,EROPS,Florida
29000.0,3,2009,Backhoe Loaders,unknown,EROPS w AC,Tennessee
14500.0,18,2001,Backhoe Loaders,unknown,EROPS,Illinois
31000.0,19,2004,Track Excavators,Large / Medium,EROPS,California
52500.0,5,2006,Track Type Tractors,Medium,EROPS w AC,Georgia
39000.0,19,2008,Wheel Loader,Medium,EROPS,Texas
34000.0,12,2007,Track Excavators,Small,EROPS w AC,Florida
29000.0,3,2011,Track Excavators,Mini,EROPS,Unspecified
75000.0,6,2007,Track Type Tractors,Medium,EROPS w AC,Arkansas
20000.0,13,2008,Wheel Loader,Compact,EROPS,Indiana
15250.0,19,1993,Track Type Tractors,Large,EROPS,New York
17500.0,5,2011,Backhoe Loaders,unknown,OROPS,Texas
23000.0,7,2008,Backhoe Loaders,unknown,OROPS,California
101000.0,2,1999,Wheel Loader,Medium,OROPS,Pennsylvania
75000.0,8,2011,Track Excavators,Large / Medium,EROPS w AC,Florida
14000.0,10,1997,Backhoe Loaders,unknown,OROPS,North Carolina
18500.0,3,2008,Track Excavators,Mini,EROPS,North Carolina
79000.0,2,2004,Track Excavators,Small,EROPS,Texas
15000.0,6,2010,Track Excavators,Mini,EROPS,Missouri
26000.0,4,1994,Track Excavators,Small,EROPS,Washington
65000.0,4,2007,Wheel Loader,Medium,EROPS w AC,Florida
18500.0,16,2011,Backhoe Loaders,unknown,EROPS w AC,North Carolina
55000.0,9,1995,Track Type Tractors,Medium,OROPS,Texas
34000.0,20,2001,Track Type Tractors,Medium,EROPS,Texas
13000.0,13,1989,Backhoe Loaders,unknown,EROPS,Montana
87000.0,3,1993,Motor Graders,unknown,EROPS w AC,Ohio
16500.0,14,1997,Track Type Tractors,unknown,OROPS,New York
12500.0,30,2003,Motor Graders,unknown,EROPS,New Jersey
11000.0,3,2002,Skid Steer Loaders,unknown,OROPS,Idaho
29000.0,21,2007,Wheel Loader,Medium,EROPS,Utah
9000.0,6,2005,Skid Steer Loaders,unknown,OROPS,Illinois
14500.0,6,1993,Backhoe Loaders,unknown,OROPS,Louisiana
15000.0,4,2007,Skid Steer Loaders,unknown,OROPS,Florida
