price,year,manufacturer,odometer,condition,fuel,transmission,drive,type,state,paint_color
18995,2014.0,rover,108853.0,excellent,gas,automatic,4wd,SUV,ma,white
12000,2010.0,honda,65000.0,excellent,gas,automatic,fwd,coupe,fl,black
24000,2017.0,honda,29000.0,like new,gas,manual,fwd,coupe,tx,black
3995,2001.0,ford,153468.0,excellent,gas,automatic,4wd,SUV,mo,red
4999,2013.0,ford,153000.0,unknown,gas,automatic,unknown,unknown,ca,unknown
34950,2011.0,gmc,110866.0,unknown,diesel,automatic,4wd,pickup,co,white
9995,2012.0,ford,179214.0,unknown,gas,automatic,unknown,unknown,mi,unknown
29500,2017.0,chevrolet,15722.0,unknown,gas,automatic,unknown,unknown,ak,unknown
13995,2003.0,gmc,133217.0,unknown,gas,automatic,unknown,unknown,ny,unknown
7500,2008.0,dodge,98000.0,excellent,gas,automatic,4wd,hatchback,az,silver
6999,2011.0,volkswagen,140211.0,unknown,gas,automatic,fwd,sedan,ga,unknown
9590,2013.0,toyota,40000.0,like new,gas,automatic,unknown,sedan,tx,grey
7500,2014.0,honda,70000.0,unknown,gas,manual,unknown,unknown,tx,unknown
33590,2018.0,ford,31279.0,good,other,other,4wd,pickup,mi,unknown
15988,2013.0,toyota,138733.0,excellent,gas,automatic,fwd,SUV,al,white
16900,2018.0,chevrolet,61335.0,unknown,gas,other,fwd,sedan,ak,white
7990,2012.0,bmw,95000.0,unknown,gas,automatic,unknown,unknown,fl,unknown
27990,2012.0,gmc,68696.0,good,gas,other,4wd,pickup,ok,black
34990,2017.0,ford,64366.0,unknown,gas,automatic,4wd,SUV,or,red
2500,2004.0,volvo,175000.0,good,gas,automatic,4wd,coupe,ny,white
26999,2014.0,jeep,78502.0,excellent,gas,automatic,4wd,SUV,oh,unknown
4951,2007.0,toyota,190500.0,excellent,gas,manual,fwd,sedan,md,red
5950,2009.0,cadillac,146074.0,excellent,gas,automatic,fwd,sedan,nh,grey
19990,2021.0,kia,12541.0,good,gas,other,fwd,wagon,fl,red
12450,2016.0,jeep,92870.0,unknown,gas,automatic,4wd,SUV,oh,white
34944,2015.0,chevrolet,91271.0,unknown,gas,automatic,4wd,pickup,ok,black
31991,2012.0,ford,38490.0,unknown,gas,manual,rwd,coupe,ok,yellow
57993,2019.0,ford,112446.0,unknown,diesel,automatic,unknown,unknown,va,unknown
9988,2012.0,jeep,91000.0,excellent,gas,automatic,4wd,SUV,ca,black
